idvariant,variant_kode,variant_nama,variant_harga,variant_stock,variant_date,variant_author,variant_ls_stock,variant_ls_date,variant_ls_author
83,"TOP","TOUCH OF PINK LCT W",2.0000000000000000e+03,1.9500000000000000e+02,"2007-05-10","OLLA",5.9148500000000000e+04,"2007-03-28","admin"
109,"ADM","ACQUA DI GIO M",2.0000000000000000e+03,2.3400000000000000e+02,"2007-05-10","OLLA",4.3210099999999999e+04,"2007-03-28","admin"
149,"PGM","POLO GREEN M",2.0000000000000000e+03,1.1250000000000000e+02,"2007-05-10","OLLA",3.0916000000000000e+04,"2007-03-28","admin"
165,"CWG","COOLWATER GAME W",2.0000000000000000e+03,2.5000000000000000e+02,"2007-05-10","OLLA",3.0000000000000000e+02,"2007-05-02","admin"
166,"ETS","ETERNITY SUMMER W",2.0000000000000000e+03,1.7000000000000000e+02,"2007-05-10","OLLA",3.0000000000000000e+02,"2007-05-02","admin"
167,"EPH","EUPHORIA CK W",2.0000000000000000e+03,1.9250000000000000e+02,"2007-05-10","OLLA",2.8350000000000000e+02,"2007-05-02","admin"
168,"CRL","CHARLY ",2.0000000000000000e+03,2.1750000000000000e+02,"2007-05-10","OLLA",3.0000000000000000e+02,"2007-05-02","admin"
169,"LVD","LAVENDER",2.0000000000000000e+03,2.8000000000000000e+02,"2007-05-10","OLLA",3.0000000000000000e+02,"2007-05-02","admin"
170,"PBL","POLO BLACK M",2.0000000000000000e+03,1.3400000000000000e+02,"2007-05-10","OLLA",2.8500000000000000e+02,"2007-05-02","admin"
171,"DVB","DAVID BACKHAM M",2.0000000000000000e+03,1.2100000000000000e+02,"2007-05-10","OLLA",3.0000000000000000e+02,"2007-05-10","OLLA"
172,"LBQ","LOVING BOUQUET ESC",2.0000000000000000e+03,2.5000000000000000e+02,"2007-05-10","OLLA",2.9250000000000000e+02,"2007-05-02","admin"
173,"LVL","LOVELY SARAH J PRKR",2.0000000000000000e+03,1.4650000000000000e+02,"2007-05-10","OLLA",0.0000000000000000e+00,"2007-05-10","OLLA"
174,"PHM","PARIS HILTON MAN",2.0000000000000000e+03,2.6750000000000000e+02,"2007-05-10","OLLA",0.0000000000000000e+00,"2007-05-10","OLLA"
