idstock,stock_name,stock_idname,stock_awal,stock_order,stock_akhir,stock_date,stock_author,stock_status,stock_keterangan
255,"variant",79,0.0000000000000000e+00,2.0000000000000000e+02,2.0000000000000000e+02,"2007-03-28","admin",1,
256,"variant",152,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
257,"variant",80,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
258,"variant",153,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
259,"variant",81,0.0000000000000000e+00,1.2000000000000000e+03,1.2000000000000000e+03,"2007-03-28","admin",1,
260,"variant",105,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
261,"variant",82,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
262,"variant",83,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
263,"variant",84,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
264,"variant",85,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
265,"variant",86,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
266,"variant",87,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
267,"variant",88,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
268,"variant",154,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
269,"botol",52,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",0,
270,"botol",56,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",0,
272,"botol",58,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",0,
273,"botol",59,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",0,
274,"botol",57,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",0,
275,"botol",60,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",0,
276,"botol",53,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",1,
277,"botol",54,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",0,
278,"botol",61,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",0,
279,"variant",155,1.0000000000000000e+00,3.0000000000000000e+04,3.0100000000000000e+04,"2007-03-28","admin",1,
280,"variant",89,1.0000000000000000e+00,1.0000000000000000e+03,1.1000000000000000e+03,"2007-03-28","admin",1,
281,"variant",89,1.1000000000000000e+03,9.8900000000000000e+04,2.0890000000000000e+00,"2007-03-28","admin",1,
282,"variant",125,-4.5000000000000000e+02,1.0000000000000000e+00,5.5000000000000000e+04,"2007-03-28","admin",1,
283,"variant",89,2.0890000000000000e+03,1.0000000000000000e+00,1.0021000000000000e+00,"2007-03-28","admin",1,
284,"variant",109,4.3500000000000000e+03,1.0000000000000000e+00,5.3499999999999996e+00,"2007-03-28","admin",1,
285,"variant",89,1.0021000000000000e+04,1.0000000000000000e+03,1.1000000000000000e+03,"2007-03-28","admin",1,
286,"variant",109,5.3500000000000000e+02,1.0000000000000000e+03,1.5350000000000000e+03,"2007-03-28","admin",1,
287,"variant",110,5.0000000000000000e+02,5.0000000000000000e+02,5.0500000000000000e+04,"2007-03-28","admin",1,
288,"variant",40,1.0000000000000000e+02,1.0000000000000000e+03,1.1000000000000000e+04,"2007-03-28","admin",1,
289,"variant",41,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
290,"variant",42,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
291,"variant",113,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
292,"variant",43,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
293,"variant",61,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
294,"variant",44,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
295,"variant",114,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
296,"variant",45,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
297,"variant",115,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
298,"variant",90,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
299,"variant",116,1.0000000000000000e+03,1.0000000000000000e+03,1.0100000000000000e+00,"2007-03-28","admin",1,
300,"variant",116,1.0100000000000000e+02,1.0000000000000000e+04,1.0101000000000000e+04,"2007-03-28","admin",1,
301,"variant",117,3.0000000000000000e+02,7.0000000000000000e+04,1.0000000000000000e+00,"2007-03-28","admin",1,
302,"variant",117,1.0000000000000000e+00,1.0000000000000000e+03,1.1000000000000000e+03,"2007-03-28","admin",1,
303,"variant",46,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
304,"variant",122,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
305,"variant",119,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
306,"variant",118,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
307,"variant",120,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
308,"variant",121,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
309,"variant",123,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
310,"variant",123,6.1000000000000000e+04,1.0000000000000000e+03,6.1009999999999998e+01,"2007-03-28","admin",1,
311,"variant",123,6.1010000000000000e+03,1.0000000000000000e+03,7.1010000000000000e+03,"2007-03-28","admin",1,
312,"variant",51,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
313,"variant",106,1.0000000000000000e+02,1.0000000000000000e+03,1.1000000000000000e+04,"2007-03-28","admin",1,
314,"variant",124,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
315,"variant",47,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
316,"variant",48,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
317,"variant",92,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
318,"variant",94,-1.5000000000000000e+02,5.0000000000000000e+04,3.5000000000000000e+04,"2007-03-28","admin",1,
319,"variant",93,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
320,"variant",49,-1.5000000000000000e+02,5.0000000000000000e+04,3.5000000000000000e+04,"2007-03-28","admin",1,
321,"variant",126,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
322,"variant",107,1.0000000000000000e+02,1.0000000000000000e+03,1.1000000000000000e+04,"2007-03-28","admin",1,
323,"variant",127,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
324,"variant",128,-5.0000000000000000e+02,5.0000000000000000e+03,-4.5000000000000000e+04,"2007-03-28","admin",1,
325,"variant",129,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
326,"variant",130,3.5000000000000000e+03,1.0000000000000000e+03,3.5099999999999998e+00,"2007-03-28","admin",0,
327,"variant",131,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
328,"variant",133,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
329,"variant",52,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
330,"variant",132,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
331,"variant",134,9.0000000000000000e+02,1.0000000000000000e+03,9.1000000000000000e+04,"2007-03-28","admin",1,
332,"variant",135,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
333,"variant",136,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
