idvariant,variant_kode,variant_nama,variant_harga,variant_stock,variant_date,variant_author,variant_ls_stock,variant_ls_date,variant_ls_author
126,"CRV","CRV MAN",2.0000000000000000e+03,2.4000000000000000e+02,"2007-05-10","OLLA",2.8930000000000000e+04,"2007-03-28","admin"
127,"CUK","CUK MAN",2.0000000000000000e+03,2.2100000000000000e+02,"2007-05-10","OLLA",5.0066000000000000e+04,"2007-03-28","admin"
128,"CWM","CWM MAN",2.5000000000000000e+03,3.0000000000000000e+02,"2007-05-10","OLLA",8.0080000000000000e+04,"2007-03-28","admin"
129,"DCL","DCL MAN",3.0000000000000000e+03,1.2769999999999999e+02,"2007-05-10","OLLA",2.9155000000000000e+04,"2007-03-28","admin"
131,"DDR","DDR MAN",2.5000000000000000e+03,2.1280000000000001e+02,"2007-05-10","OLLA",5.5888500000000000e+04,"2007-03-28","admin"
132,"DRC","DRC MAN",2.0000000000000000e+03,1.7550000000000000e+02,"2007-05-09","admin",3.0807000000000000e+04,"2007-03-28","admin"
133,"DKK","DKK MAN",2.5000000000000000e+03,2.2000000000000000e+02,"2007-05-10","OLLA",5.2356500000000000e+04,"2007-03-28","admin"
134,"DRK","DRK MAN",2.5000000000000000e+03,2.7900000000000000e+02,"2007-05-10","OLLA",8.4861000000000000e+04,"2007-03-28","admin"
135,"ECH","ECH MAN",2.5000000000000000e+03,1.4000000000000000e+02,"2007-05-10","OLLA",2.5781500000000000e+04,"2007-03-28","admin"
136,"ECM","ECM MAN",2.5000000000000000e+03,2.2480000000000001e+02,"2007-05-10","OLLA",3.5000000000000000e+02,"2007-05-10","OLLA"
137,"EGS","EGS MAN",2.5000000000000000e+03,2.4200000000000000e+02,"2007-05-10","OLLA",4.0893500000000000e+04,"2007-03-28","admin"
138,"EST","EST MAN",2.0000000000000000e+03,1.9850000000000000e+02,"2007-05-10","OLLA",2.5911000000000000e+04,"2007-03-28","admin"
139,"ETM","ETM MAN",2.5000000000000000e+03,2.0800000000000000e+02,"2007-05-10","OLLA",7.3630500000000000e+04,"2007-03-28","admin"
140,"EXT","EXT MAN",2.5000000000000000e+03,3.6639999999999998e+02,"2007-05-10","OLLA",2.9250000000000000e+02,"2007-05-09","admin"
141,"FHR","FHR MAN",2.0000000000000000e+03,2.0700000000000000e+02,"2007-05-10","OLLA",2.7386000000000000e+04,"2007-03-28","admin"
